date,temperature,humidity,pressure,wind_speed
2024-12-27,5.49,76,1023,9.26
2024-12-28,8.26,76,1022,7.72
2024-12-29,8.04,76,1024,8.75
2024-12-30,7.15,71,1028,7.72
2024-12-31,8.26,71,1032,1.54
2025-01-01,7.71,76,1032,2.57
2025-01-02,10.49,66,1027,5.66
2025-01-03,10.49,67,1020,7.72
2025-01-04,8.26,87,1020,9.26
2025-01-05,5.49,66,1023,2.24
2025-01-06,9.93,71,1022,5.66
2025-01-07,11.6,62,1021,7.2
2025-01-08,13.26,67,1021,4.63
2025-01-09,10.49,72,1021,3.58
2025-01-10,13.26,58,1015,4.12
2025-01-11,6.04,87,1017,7.2
2025-01-12,6.71,87,1017,8.75
2025-01-13,3.26,87,1025,8.23
2025-01-14,4.93,81,1029,8.23
2025-01-15,4.37,87,1022,8.23
2025-01-16,5.49,81,1033,6.17
2025-01-17,6.6,61,1037,3.6
2025-01-18,7.15,71,1032,3.6
2025-01-19,9.37,81,1027,2.57
2025-01-20,8.93,61,1026,5.14
2025-01-21,9.04,71,1021,2.06
2025-01-22,10.6,80,1019,1.96
2025-01-23,10.04,93,1020,2.06
